serial_no,abandon_dt,amend_reg_dt,amend_lb_for_app_in,amend_lb_for_reg_in,amend_lb_itu_in,amend_lb_use_in,reg_cancel_cd,reg_cancel_dt,cancel_pend_in,cert_mark_in,chg_reg_in,coll_memb_mark_in,coll_serv_mark_in,coll_trade_mark_in,draw_color_cur_in,draw_color_file_in,concur_use_in,concur_use_pend_in,file_location,draw_3d_cur_in,draw_3d_file_in,exm_attorney_name,lb_use_file_in,lb_for_app_cur_in,lb_for_reg_cur_in,lb_intl_reg_cur_in,lb_for_app_file_in,lb_for_reg_file_in,lb_intl_reg_file_in,lb_none_cur_in,filing_dt,for_priority_in,lb_itu_cur_in,lb_itu_file_in,interfer_pend_in,exm_office_cd,file_location_dt,mark_draw_cd,mark_id_char,opposit_pend_in,amend_principal_in,concur_use_pub_in,publication_dt,registration_dt,renewal_dt,renewal_file_in,repub_12c_dt,repub_12c_in,incontest_ack_in,incontest_file_in,acq_dist_in,acq_dist_part_in,use_afdv_acc_in,use_afdv_file_in,use_afdv_par_acc_in,serv_mark_in,std_char_claim_in,cfh_status_cd,cfh_status_dt,amend_supp_reg_in,supp_reg_in,trade_mark_in,lb_use_cur_in,lb_none_file_in,ir_auto_reg_dt,ir_first_refus_in,ir_death_dt,ir_publication_dt,ir_registration_dt,ir_registration_no,ir_renewal_dt,ir_status_cd,ir_status_dt,ir_priority_dt,ir_priority_in,related_other_in,registration_no,tad_file_id
60146682,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,1920-09-25,0,0,0,0,,,3000.0,MACHINE-PISTOL,0,0,0,,1921-09-20,,0,,0,0,0,0,0,0,0,0,0,0,626,2005-10-11,0,0,1,1,0,,,,,,,,,,,,,146682,1
60149828,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,1921-07-26,0,0,0,0,,,5000.0,THOMPSON,0,0,0,,1921-12-27,,0,,0,0,0,0,0,0,0,0,0,0,626,2005-10-11,0,0,1,1,0,,,,,,,,,,,,,149828,1
70011408,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1884-06-16,0,0,0,0,0.0,2004-06-23,3000,"MONARCH MIXED PAINT SENOUR MANUFACTURING COMPANY, PURE LINSEED OIL, WHITE LEND & ZINC, NO BENZINE, NO WATER, OFFICE AND FACTORY NOS. 72 & 74 EWING ST. CHICAGO",0,0,0,,1884-08-12,1974-08-12,0,,0,0,0,0,0,0,0,0,0,0,900,1995-05-15,0,0,1,1,0,,,,,,,,,,,,,11408,5
70011709,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,0,0,0,0,0,0,0,0,1884-10-27,0,0,0,0,0.0,2004-06-23,5W23,NESTLE,0,0,0,,1884-11-25,1974-11-25,0,,0,0,0,0,0,0,0,0,0,0,900,1995-08-28,0,0,1,0,0,,,,,,,,,,,,,11709,5
70011710,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,0,0,0,0,0,0,0,0,1884-10-27,0,0,0,0,0.0,2004-06-23,5W23,NESTLE,0,0,0,,1884-11-25,1974-11-25,0,,0,0,0,0,0,0,0,0,0,0,900,1995-08-28,0,0,1,0,0,,,,,,,,,,,,,11710,5
70011711,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,0,0,0,0,0,0,0,0,1884-10-27,0,0,0,0,0.0,2004-06-23,3W23,HENRI NESTLE,0,0,0,,1884-11-25,1974-11-25,0,,0,0,0,0,0,0,0,0,0,0,900,1995-08-28,0,0,1,0,0,,,,,,,,,,,,,11711,5
70011863,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1884-05-14,0,0,0,0,0.0,2004-06-23,1000,VALOID,0,0,0,,1885-01-20,1975-01-20,0,,0,0,0,0,0,0,0,0,0,0,900,1995-10-23,0,0,0,1,0,,,,,,,,,,,,,11863,5
70012355,,,0,0,0,0,2.0,1985-11-01,0,0,0,0,0,0,0,0,0,0,FILE DESTROYED,0,0,,0,0,0,0,0,0,0,0,1885-06-05,0,0,0,0,0.0,1994-03-04,5000,RHEINGOLD,0,0,0,,1885-06-30,1975-06-30,1,1975-12-02,1,0,0,0,0,0,0,0,0,0,710,1985-11-01,0,0,1,0,0,,,,,,,,,,,,,12355,5
70012441,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1885-03-07,0,0,0,0,0.0,2004-06-23,1000,TAM O'SHANTER,0,0,0,,1885-07-28,1995-07-28,0,,0,0,0,0,0,0,0,0,0,0,900,2006-05-06,0,0,1,1,0,,,,,,,,,,,,,12441,5
70012442,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1885-03-07,0,0,0,0,0.0,2004-06-23,1000,MONTGOMERIESTONE,0,0,0,,1885-07-28,1975-07-28,0,,0,0,0,0,0,0,0,0,0,0,900,1996-05-06,0,0,1,1,0,,,,,,,,,,,,,12442,5
70012443,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,FILE REPOSITORY (FRANCONIA),0,0,,1,0,0,0,0,0,0,0,1885-03-07,0,0,0,0,0.0,2004-06-23,1000,DALMORE HONE,0,0,0,,1885-07-28,1995-07-28,0,,0,0,0,0,0,0,0,0,0,0,900,2006-05-06,0,0,1,1,0,,,,,,,,,,,,,12443,5
