first_use_any_dt,first_use_any_dt_raw,first_use_com_dt,first_use_com_dt_raw,class_intl_count,class_primary_cd,class_status_cd,class_status_dt,class_us_count,class_id,serial_no
1920-09-13,19200913,1920-09-13,19200913,1,009,6,2010-04-08,5,1,60146682
1921-07-18,19210718,1921-07-18,19210718,1,009,6,2010-04-08,5,2,60149828
,18840100,,18840100,1,016,9,1995-05-15,1,3,70011408
,0,,0,1,046,9,1995-08-28,1,4,70011709
,0,,0,1,046,9,1995-08-28,1,5,70011710
,0,,0,1,046,9,1995-08-28,1,6,70011711
,18840100,,18840100,1,018,9,1995-10-23,1,7,70011863
,0,,0,1,047,2,1985-11-01,1,8,70012355
,18840300,,18840300,2,004,9,2006-05-06,1,9,70012441
,18840200,,18840200,2,004,9,1996-05-06,1,10,70012442
,18840500,,18840500,2,004,9,2006-05-06,1,11,70012443
1885-11-01,18851101,1885-11-01,18851101,1,052,9,1996-09-23,1,12,70012857
1886-01-27,18860127,1886-01-27,18860127,1,046,1,1991-10-31,1,13,70013054
,18760100,,18760100,1,048,6,,1,14,70013064
1880-08-19,18800819,1880-08-19,18800819,1,046,6,1983-03-01,1,15,70013253
,18830200,,18830200,2,035,9,1997-02-17,1,16,70013299
,18790100,,18790100,1,052,9,1997-12-02,1,18,70014118
1877-02-07,18770207,1877-02-07,18770207,1,017,9,1983-03-01,1,19,70014244
1887-03-01,18870301,1887-03-01,18870301,1,052,9,1998-02-17,1,20,70014364
,18840400,,18840400,1,052,9,1998-03-02,1,21,70014441
1886-04-19,18860419,1886-04-19,18860419,1,018,9,1983-03-01,1,22,70014527
1887-11-30,18871130,1887-11-30,18871130,1,052,9,1998-10-19,1,23,70015086
1874-06-01,18740601,1874-06-01,18740601,1,014,9,1983-10-09,1,24,70015226
,18680000,,18680000,1,035,9,1998-12-28,1,25,70015321
,18860300,,18860300,1,023,9,1985-07-16,1,26,70015376
,0,,0,1,038,9,1985-07-16,1,27,70015437
1888-06-28,18880628,1888-06-28,18880628,1,046,9,1999-05-24,1,28,70015801
,18800000,,18800000,1,023,9,1999-07-26,1,29,70015960
1887-04-23,18870423,1887-04-23,18870423,1,037,9,1999-09-27,1,30,70016114
,18800000,,18800000,1,049,9,1983-03-01,1,31,70016140
1885-04-20,18850420,1885-04-20,18850420,2,052,9,2000-04-06,1,32,70016314
,18880200,,18880200,1,051,9,2000-12-23,1,33,70016443
1871-01-01,18710101,1871-01-01,18710101,1,049,9,2000-12-23,1,34,70016486
,18780000,,18880200,1,031,9,1985-07-16,1,35,70016487
1888-05-15,18880515,1888-05-15,18880515,1,039,9,1983-03-01,1,36,70016709
1889-11-27,18891127,1889-11-27,18891127,1,046,2,2001-05-06,1,38,70017825
