serial_no,nice_class_code,mark_id_char,mark_length,statement_text,dict_indicator,pseudo_mark,formatted_text
60146682,9,MACHINE-PISTOL,1,pistols,0,,"[CLS]MACHINE-PISTOL [SEP] pistols [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 9 [SEP] Scientific, nautical, surveying, photographic, cinematographic, optical, weighing, measuring, signalling, checking (supervision), life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling electricity; apparatus for recording, transmission or reproduction of sound or images; magnetic data carriers, recording discs; compact discs, DVDs and other digital recording media; mechanisms for coin-operated apparatus; cash registers, calculating machines, data processing equipment, computers; computer software; fire-extinguishing apparatus. [SEP] Pseudo mark is  [CLS]"
60149828,9,THOMPSON,1,"shotguns, pistols, rifles, machine-guns, submachine-guns, field-guns, siege-guns, seacoast-guns, naval guns, magazines for any of said guns, and bayonets",1,,"[CLS]THOMPSON [SEP] shotguns, pistols, rifles, machine-guns, submachine-guns, field-guns, siege-guns, seacoast-guns, naval guns, magazines for any of said guns, and bayonets [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 9 [SEP] Scientific, nautical, surveying, photographic, cinematographic, optical, weighing, measuring, signalling, checking (supervision), life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling electricity; apparatus for recording, transmission or reproduction of sound or images; magnetic data carriers, recording discs; compact discs, DVDs and other digital recording media; mechanisms for coin-operated apparatus; cash registers, calculating machines, data processing equipment, computers; computer software; fire-extinguishing apparatus. [SEP] Pseudo mark is  [CLS]"
70011408,2,"MONARCH MIXED PAINT SENOUR MANUFACTURING COMPANY, PURE LINSEED OIL, WHITE LEND & ZINC, NO BENZINE, NO WATER, OFFICE AND FACTORY NOS. 72 & 74 EWING ST. CHICAGO",27,MIXED PAINTS,0,,"[CLS]MONARCH MIXED PAINT SENOUR MANUFACTURING COMPANY, PURE LINSEED OIL, WHITE LEND & ZINC, NO BENZINE, NO WATER, OFFICE AND FACTORY NOS. 72 & 74 EWING ST. CHICAGO [SEP] MIXED PAINTS [SEP] mark absent in Wordnet [SEP] Mark length is 27 [SEP] NICE category is 2 [SEP] Paints, varnishes, lacquers; preservatives against rust and against deterioration of wood; colorants; mordants; raw natural resins; metals in foil and powder form for painters, decorators, printers and artists. [SEP] Pseudo mark is  [CLS]"
70011709,29,NESTLE,1,CONDENSED MILK,1,,"[CLS]NESTLE [SEP] CONDENSED MILK [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is  [CLS]"
70011710,30,NESTLE,1,MILK FOOD FOR INFANTS,1,,"[CLS]NESTLE [SEP] MILK FOOD FOR INFANTS [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 30 [SEP] Coffee, tea, cocoa and artificial coffee; rice; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; edible ices; sugar, honey, treacle; yeast, baking powder; salt; mustard; vinegar, sauces (condiments); spices; ice. [SEP] Pseudo mark is  [CLS]"
70011711,5,HENRI NESTLE,2,MILK-FOODS FOR INFANTS,0,,"[CLS]HENRI NESTLE [SEP] MILK-FOODS FOR INFANTS [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70011863,5,VALOID,1,"MEDICINAL PREPARATION FOR INTERNAL USE, BEING FLUID EXTRACTS PREPARED FROM A SINGLE DRUG",0,,"[CLS]VALOID [SEP] MEDICINAL PREPARATION FOR INTERNAL USE, BEING FLUID EXTRACTS PREPARED FROM A SINGLE DRUG [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 5 [SEP] Pharmaceutical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical use, food for babies; dietary supplements for humans and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. [SEP] Pseudo mark is  [CLS]"
70012355,33,RHEINGOLD,1,CHAMPAGNE WINES,0,,[CLS]RHEINGOLD [SEP] CHAMPAGNE WINES [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 33 [SEP] Alcoholic beverages (except beers). [SEP] Pseudo mark is  [CLS]
70012441,3,TAM O'SHANTER,2,"SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES, AND DUST FOR GRINDING, POLISHING, AND SHARPENING PURPOSES",0,,"[CLS]TAM O'SHANTER [SEP] SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES, AND DUST FOR GRINDING, POLISHING, AND SHARPENING PURPOSES [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70012442,3,MONTGOMERIESTONE,1,"SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES FOR GRINDING, POLISHING, AND SHARPENING PURPOSES",0,,"[CLS]MONTGOMERIESTONE [SEP] SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES FOR GRINDING, POLISHING, AND SHARPENING PURPOSES [SEP] mark absent in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70012443,3,DALMORE HONE,2,"SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES FOR GRINDING, POLISHING, AND SHARPENING PURPOSES",0,,"[CLS]DALMORE HONE [SEP] SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES FOR GRINDING, POLISHING, AND SHARPENING PURPOSES [SEP] mark absent in Wordnet [SEP] Mark length is 2 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70012857,3,FAIRY,1,LAUNDRY AND TOILET SOAP,1,,"[CLS]FAIRY [SEP] LAUNDRY AND TOILET SOAP [SEP] mark present in Wordnet [SEP] Mark length is 1 [SEP] NICE category is 3 [SEP] Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices. [SEP] Pseudo mark is  [CLS]"
70013054,29,DAISY BRAND CONDENSED MILK,4,CONDENSED MILK,1,,"[CLS]DAISY BRAND CONDENSED MILK [SEP] CONDENSED MILK [SEP] mark present in Wordnet [SEP] Mark length is 4 [SEP] NICE category is 29 [SEP] Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk and milk products; edible oils and fats [SEP] Pseudo mark is  [CLS]"
