statement_type_cd,statement_text,serial_no
GS0091,pistols,60146682
GS0091,"shotguns, pistols, rifles, machine-guns, submachine-guns, field-guns, siege-guns, seacoast-guns, naval guns, magazines for any of said guns, and bayonets",60149828
GS0161,MIXED PAINTS,70011408
GS0461,CONDENSED MILK,70011709
GS0461,MILK FOOD FOR INFANTS,70011710
DM0000,THE MARK CONSISTS OF THE FACSIMILE SIGNATURE OF HENRI NESTLE.,70011711
GS0461,MILK-FOODS FOR INFANTS,70011711
GS0181,"MEDICINAL PREPARATION FOR INTERNAL USE, BEING FLUID EXTRACTS PREPARED FROM A SINGLE DRUG",70011863
GS0471,CHAMPAGNE WINES,70012355
GS0041,"SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES, AND DUST FOR GRINDING, POLISHING, AND SHARPENING PURPOSES",70012441
GS0041,"SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES FOR GRINDING, POLISHING, AND SHARPENING PURPOSES",70012442
GS0041,"SLIPS, PENCILS, BLOCKS, HONES, SEGMENTS, AND WHEEL-STONES FOR GRINDING, POLISHING, AND SHARPENING PURPOSES",70012443
GS0521,LAUNDRY AND TOILET SOAP,70012857
DM0000,"THE TRADEMARK OF SAID COMPANY CONSISTS OF THE ARBITRARILY SELECTED WORD ""DAISY."" THIS HAS GENERALLY BEEN ARRANGED AS SHOWN IN THE ACCOMPANYING FACSIMILE, IN WHICH IT APPEARS IN PLAIN CAPITALS PRINTED IN WHITE UPON A BLUE GROUND, IN AN ARCHED LINE, AND IN CONNECTION WITH THE WORD ""BRAND."" BELOW THE WORDS ""DAISY BRAND"" IS THE REPRESENTATION OF A DAISY, AND BELOW THE SAID REPRESENTATION ARE THE WORDS ""CONDENSED MILK,"" ALSO PRINTED IN WHITE UPON A BLUE GROUND. AT THE CORNERS OF THE BLUE GROUND ARE SMALL REPRESENTATIONS OF DAISIES, AND THE SAID BLUE GROUND IS SURROUNDED BY AN INTERIOR YELLOW BAND AND A NARROWER EXTERIOR BLUE BAND, FORMING A BORDER; BUT OTHER FORMS OF TYPE MAY BE EMPLOYED, OR IT MAY BE DIFFERENTLY ARRANGED OR COLORED, AND THE WORDS ""BRAND"" AND ""CONDENSED MILK,"" THE REPRESENTATION OF THE DAISIES, AND THE BORDER BANDS MAY BE OMITTED OR CHANGED AT PLEASURE WITHOUT MATERIALLY ALTERING THE CHARACTER OF THE SAID TRADE-MARK, THE ESSENTIAL FEATURE OF WHICH IS THE ARBITRARILY-SELECTED WORD ""DAISY.""",70013054
GS0461,CONDENSED MILK,70013054
DM0000,"OUR TRADE-MARK CONSISTS OF THE WORD ""BUDWEISER"" AND OUR FIRM NAME, ""C. CONRAD & CO.,"" IN CONNECTION WITH THE MONOGRAM COMPOSED OF THE LETTERS ""C C & CO.,"" AS SHOWN IN THE ACCOMPANYING FACSIMILES.",70013064
GS0481,LAGER BEER,70013064
DM0000,"OUR TRADEMARK CONSISTS OF THE LETTERS AND WORDS ""WASHBURN'S GOLD MEDAL"" UPON A DISK OF GOLD. THESE HAVE GENERALLY BEEN ARRANGED AS SHOWN IN THE ACCOMPANYING FACSIMILE. WITHIN AN OUTER CIRCULAR BORDER OF BLACK, EXTENDING FROM LEFT TO RIGHT IN CIRCULAR FORM ACROSS THE TOP THEREOF, ARE THE WORDS ""WASHBURN, CROSBY & CO.,"" AND ACROSS THE BOTTOM THEREOF IN CIRCULAR FORM IS THE WORD ""MINNEAPOLIS."" WITHIN THIS CIRCLE IS A DISK OF GOLD, ACROSS THE TOP OF WHICH IS INSCRIBED THE WORD ""WASHBURN'S."" IMMEDIATELY BELOW THIS IS A SCROLL, AND BELOW THE SCROLL, IN LARGE LETTERS, THE WORD ""GOLD,"" AND BELOW THAT THE WORD ""MEDAL,"" BUT THE OUTER CIRCLE AND INSCRIPTION MAY BE OMITTED, AND THE STYLE, COLOR, AND ARRANGEMENT OF THE LETTERS AND DISK MAY BE CHANGED AT PLEASURE WITHOUT MATERIALLY ALTERING THE CHARACTER OF OUR TRADE-MARK, THE ESSENTIAL FEATURES OF WHICH ARE THE WORDS ""WASHBURN'S"" GOLD MEDAL,"" UPON A GOLD-COLORED DISK.",70013253
PM0001,WASHBURNS GOLD MEDAL,70013253
GS0461,FLOUR,70013253
DM0000,"SAID TRADE-MARK CONSISTS OF THE ARBITRARY WORD-SYMBOL SHOWN IN THE ACCOMPANYING FACSIMILE, WHICH IS DESCRIBED AS FOLLOWS-TO WIT ""GIANT,"" IN LARGE RED LETTERS. THE WORD-SYMBOL ""GIANT"" IS ALSO STAMPED IN LARGE LETTERS WITHIN A PARALLELOGRAM. ABOVE THE SAID PARALLELOGRAM ARE THE WORDS ""REVERE RUBBER,"" IN A CURVE, AND BELOW SAID PARALLELOGRAM IS THE WORD ""COMPANY"" IN A SIMILAR CURVE, THE WHOLE BEING INCLOSED WITHIN AN OVAL FRAME. THE WORDS, PARALLELOGRAM, AND OVAL FRAME ARE ALL STRAMPED IN BOLD RELIEF, AS SHOWN IN THE ACCOMPANYING FACSIMILE. THE SAME IS GENERALLY USED ALONE; BUT IT MAY BE USED IN CONNECTION WITH MATTER OF ORNAMENTATION, AND ALSO COUPLED WITH WORDS DESCRIPTIVE OF THE GOODS; BUT THESE ARE NOT ESSENTIAL, AND MAY BE EMPLOYED OR OMITTED AT PLEASURE WITHOUT MATERIALLY AFFECTING THE CHARACTER OF SAID TRADE-MARK, THE ESSENTIAL FEATURE OF WHICH IS THE ARBITRARY WORD-SYMBOL ""GIANT,"" IN ANY COLOR AND IN ANY STYLE OF LETTERING. IN CONNECTION WITH MATTER OF ORNAMENTATION, AND ALSO COUPLED WITH WORDS DESCRIPTIVE OF THE GOODS; BUT THESE ARE NOT ESSENTIAL, AND MAY BE EMPLOYED OR OMITTED AT PLEASURE WITHOUT MATERIALLY AFFECTING THE CHARACTER OF SAID TRADE-MARK, THE ESSENTIAL FEATURE OF WHICH IS THE ARBITRARY WORD-SYMBOL ""GIANT,"" IN ANY COLOR AND IN ANY STYLE OF LETTERING.",70013299
GS0351,"PACKING, BELTING, HOSE, ETC",70013299
GS0521,SOAP,70014118
GS0171,"SMOKING AND CHEWING TOBACCO, CIGARS, AND CIGARETTES",70014244
GS0521,SOAP-POWDER,70014364
