mark_id_char,indicator
MACHINE-PISTOL,0
THOMPSON,1
"MONARCH MIXED PAINT SENOUR MANUFACTURING COMPANY, PURE LINSEED OIL, WHITE LEND & ZINC, NO BENZINE, NO WATER, OFFICE AND FACTORY NOS. 72 & 74 EWING ST. CHICAGO",0
NESTLE,1
NESTLE,1
HENRI NESTLE,0
VALOID,0
RHEINGOLD,0
TAM O'SHANTER,0
MONTGOMERIESTONE,0
DALMORE HONE,0
FAIRY,1
DAISY BRAND CONDENSED MILK,1
ORIGINAL BUDWEISER BUDWEISER LAGER BIER ONLY GENUINE AS DECREED BY THE COURTS ORIGINAL AS DECREED BY THE COURTS,0
WASHBURN'S GOLD MEDAL,0
GIANT REVERE RUBBER COMPANY GIANT,1
SWAN,1
SK OF L CIGAR MAKES OF AMERICA,0
"WELCOME SOAP POWDER CURTIS DAVIS & CO BOSTON, MASS., U.S.A.",0
SUNLIGHT,1
AYER'S SARSAPARILLA THE BEST BLOOD MEDICINE,0
OCTAGON,1
PHOSPHOR BRONZE,1
JENKINS DISC.,0
STANDARD REMINGTON TYPEWRITER TO SAVE TIME IS TO LENGTHEN LIFE.,0
D DRESDEN EXTRA BRILLIANT,1
CHAMPION CONDENSED MILK,1
REMINGTON,0
"ANAGLYPTA WALL DECORATION SANITARY BEAUTIFUL DURABLE INEXPENSIVE WORKS, QUEEN'S MILLS, LANCASTER LONDON WAREHOUSE, 92 & 93 GT. RUSSELL ST., W.C.",0
"THE SHAMROCK WHISKY KIRKER, GREER & CO BELFAST.",0
SUNBEAM.,0
VINOLIA,0
HENRY WHITE AND CO.'S RED HEART RUM LONDON,0
TRIPLE MOTION WHITE MOUNTAIN ICE CREAM FREEZER,1
LA COLLERETTE MARQUE DEPOSEE,0
AUNT JEMIMA,0
ROYAL WORCESTER,1
COD-LIVER OIL SCOTT'S EMULSION,0
THE WESTERN BOILER COMPOUND,0
"BRECKNELL, TURNER & SONS PREPARED SADDLE SOAP 31 & 32, HAYMARKET, LONDON.",0
G. T. GOULD TEA OLD COUNTRY ENGLISH BREAKFAST TEA,0
"SCOTT'S EMULSION P.P.P. OF PURE COD LIVER OIL SCOTT & BOWNE MANUFACTURING CHEMISTS, NEW YORK. EXCLUSIVELY FOR EXPORT. PERFECT PERMANENT PALATABLE WITH HYPOPHOSPHITES OF LIME AND SODA. A RELIABLE REMEDY FOR PULMONARY DISEASES, COUGHS, COLDS, AND GENERAL DEBILITY.",0
CLICQUOT-CLUB,0
MAIZENA,0
MAIZENA,0
LITTLE GIANT.,0
WOODWARD'S GRIPE WATER,0
THE DAINTY FIRST QUALITY,0
NELSON MORRIS & CO MATCHLESS BRAND EXTRA SUGAR CURED HAMS CHICAGO,0
PETERS SHOE CO'S DIAMOND BRAND ST. LOUIS,0
NONPAREIL OIL,1
BALDWIN.,0
FAIR & SQUARE,0
SEEMAN BROS. FAMOUS WHITE ROSE CORN,0
FRICTIONLESS.,0
COMMON SENSE,1
"""LYPSYL""",0
PV,0
LEA & PERRINS WORCHESTERSHIRE SAUCE,0
HUDOR,0
BLUE RIBBON BRAND,1
ELGIN NATIONAL WATCH CO.,0
J&W.NICHOLSON&CO. SCOTCH WHISKY LONDON,0
COTTONOID,0
VAPO-CRESOLENE,0
NUGGET.,0
REAL COMPANHIA DOS VINHOS DO PORTO,0
I WILL,1
ALCOOL DE MENTHE DE RICQLES,0
KUTTYHUNK,0
REFLEX,1
PARCHED ROLLED OATS QUAIL BRAND,1
STORM'S,0
JENKINS TRADE MARK,0
D.M.C.,0
D.M.C.,0
D.M.C.,0
NAVALITE,0
COCA-COLA,0
ATLAS WASHING FLUID,1
COSMOLINE,0
PEERLESS BRAND,1
CASHMERE BOUQUET,1
CASHMERE,1
CAPRICE,1
MICANITE PERFECT INSULATOR,0
PS STUBS,1
STUBS,1
PEARS,1
FOWNES',0
SEEMAN BROS. FAMOUS WHITE ROSE PEARS,0
SEEMAN BROS. FAMOUS WHITE ROSE FARINA,0
ARMOUR'S VEGETOLE,0
HOOD'S SARSAPARILLA CIH & CO COMPOUND EXTRACT,0
GARLOCK,0
CRESOLENE.,0
CREAM OF THE PRAIRIE SUGAR CORN FINEST QUALITY PACKED BY THE ILLINOIS CANNING CO HOOPESTON ILL,0
